Program     			SSAv 		SSMn 		SSMx 		UTF  		UTN  		UTR  		FS   		READ 		WRITE		NET  		CONNECT		ACCEPT		RUNTIME		EXECUTE

avrora      			4.17 		3    		6    		5    		0    		0    		6    		4    		2    		0    		0    		0    		0    		0    
batik       			6.94 		3    		11   		10   		0    		0    		16   		11   		5    		0    		0    		0    		0    		0    
biojava     			4.17 		3    		6    		5    		0    		0    		6    		4    		2    		0    		0    		0    		0    		0    
cassandra   			4.2  		3    		6    		5    		0    		0    		5    		3    		2    		0    		0    		0    		0    		0    
eclipse     			13.49		3    		46   		5444 		0    		0    		23852		16860		6992 		0    		0    		0    		0    		0    
fop         			12.69		3    		32   		78   		0    		0    		94   		88   		6    		0    		0    		0    		0    		0    
graphchi    			5.7  		2    		8    		17   		0    		0    		97   		93   		4    		0    		0    		0    		0    		0    
h2          			5.2  		3    		13   		6    		0    		0    		10   		6    		4    		0    		0    		0    		0    		0    
jme         			4.5  		3    		6    		9    		0    		0    		14   		10   		4    		0    		0    		0    		0    		0    
jython      			22.51		3    		34   		750  		0    		4    		1565 		1531 		34   		0    		0    		0    		5    		5    
kafka       			7.25 		3    		13   		117  		1    		0    		126  		14   		112  		56   		56   		0    		0    		0    
luindex     			4.45 		3    		6    		7    		0    		0    		11   		7    		4    		0    		0    		0    		0    		0    
lusearch    			2.01 		2    		6    		4098 		0    		0    		6142 		4093 		2049 		0    		0    		0    		0    		0    
pmd         			4.25 		3    		6    		7    		0    		0    		12   		9    		3    		0    		0    		0    		0    		0    
spring      			9.2  		3    		24   		21   		1    		0    		31   		27   		4    		81   		81   		0    		0    		0    
sunflow     			4.69 		3    		6    		8    		0    		0    		13   		9    		4    		0    		0    		0    		0    		0    
tomcat      			19.65		3    		44   		375  		1    		0    		829  		711  		118  		367  		367  		0    		0    		0    
tradebeans  			17.74		3    		46   		29   		0    		2    		40   		35   		5    		0    		0    		0    		2    		2    
tradesoap   			18.97		3    		46   		29   		0    		2    		35   		29   		6    		0    		0    		0    		2    		2    
xalan       			1.01 		1    		11   		46   		0    		0    		8718 		8691 		27   		0    		0    		0    		0    		0    
zxing       			2.01 		2    		6    		1254 		0    		0    		2505 		2501 		4    		0    		0    		0    		0    		0    
